transition_id,previous_grade,new_grade,transition_type,shift,target_value,actual_value,production_speed,time_to_target_min,process_variability,stabilization_time_min,target_gap_pct,stable_flag,operational_impact_score
1,Grade_A,Grade_B,Grade_A → Grade_B,Night,104.14,97.91,428.91,37.24,11.23,67.69,5.98,0,80.05
2,Grade_D,Grade_E,Grade_D → Grade_E,Evening,97.68,97.77,460.13,34.8,7.97,88.12,0.09,1,74.21
3,Grade_D,Grade_B,Grade_D → Grade_B,Day,100.76,95.11,332.71,29.48,14.87,61.29,5.61,0,97.82
4,Grade_C,Grade_A,Grade_C → Grade_A,Evening,100.06,103.98,421.38,23.51,22.17,91.18,3.92,0,127.12
5,Grade_C,Grade_A,Grade_C → Grade_A,Night,104.48,106.96,407.9,24.64,9.1,65.59,2.37,1,66.2
6,Grade_D,Grade_E,Grade_D → Grade_E,Evening,111.65,115.92,438.78,24.86,9.47,48.15,3.82,1,58.03
7,Grade_A,Grade_B,Grade_A → Grade_B,Night,116.47,115.8,419.29,28.16,3.6,50.99,0.58,1,35.94
8,Grade_D,Grade_B,Grade_D → Grade_B,Evening,103.1,104.95,340.05,32.08,5.69,71.51,1.79,1,75.21
9,Grade_A,Grade_C,Grade_A → Grade_C,Evening,105.9,108.42,350.57,36.53,5.29,63.9,2.38,1,60.21
10,Grade_A,Grade_B,Grade_A → Grade_B,Day,88.49,83.55,421.62,23.88,8.59,51.13,5.58,0,60.77
11,Grade_C,Grade_E,Grade_C → Grade_E,Evening,99.12,102.12,476.58,46.77,13.99,98.5,3.02,0,100.99
12,Grade_E,Grade_A,Grade_E → Grade_A,Day,109.4,112.55,298.22,35.91,9.4,55.39,2.88,1,71.35
13,Grade_D,Grade_B,Grade_D → Grade_B,Evening,108.66,108.23,439.01,25.95,4.77,54.22,0.4,1,45.57
14,Grade_D,Grade_E,Grade_D → Grade_E,Night,102.12,92.44,485.43,40.91,22.84,119.98,9.48,0,150.32
15,Grade_D,Grade_B,Grade_D → Grade_B,Day,108.86,110.3,411.58,27.36,4.36,48.22,1.32,1,40.53
16,Grade_D,Grade_E,Grade_D → Grade_E,Evening,104.91,100.92,450.26,53.47,9.51,111.38,3.81,1,91.07
17,Grade_C,Grade_E,Grade_C → Grade_E,Day,112.0,111.46,381.33,39.81,8.57,79.65,0.48,1,78.3
18,Grade_A,Grade_C,Grade_A → Grade_C,Evening,102.89,102.82,413.43,20.12,5.25,50.49,0.07,1,48.8
19,Grade_D,Grade_E,Grade_D → Grade_E,Day,96.44,100.35,330.85,38.14,15.61,95.18,4.05,0,122.49
20,Grade_C,Grade_A,Grade_C → Grade_A,Night,103.36,101.98,291.06,36.09,6.31,59.71,1.34,1,69.23
21,Grade_C,Grade_E,Grade_C → Grade_E,Day,70.69,69.04,471.85,33.51,6.87,63.36,2.33,1,61.48
22,Grade_B,Grade_D,Grade_B → Grade_D,Night,103.83,104.47,365.83,43.7,18.48,114.59,0.62,0,136.0
23,Grade_A,Grade_C,Grade_A → Grade_C,Night,63.52,66.72,394.95,35.05,9.08,96.88,5.03,0,82.96
24,Grade_E,Grade_A,Grade_E → Grade_A,Evening,82.77,84.44,343.75,16.39,2.08,43.29,2.01,1,34.87
25,Grade_D,Grade_E,Grade_D → Grade_E,Evening,104.52,101.6,342.45,36.24,5.54,63.65,2.79,1,57.8
26,Grade_D,Grade_B,Grade_D → Grade_B,Evening,104.78,105.91,410.44,25.21,10.28,36.91,1.08,1,51.92
27,Grade_C,Grade_A,Grade_C → Grade_A,Night,88.38,83.7,379.87,26.83,12.3,79.16,5.29,0,93.77
28,Grade_D,Grade_E,Grade_D → Grade_E,Day,92.88,95.08,440.79,37.76,6.18,73.05,2.37,1,62.97
29,Grade_C,Grade_E,Grade_C → Grade_E,Evening,113.71,110.57,444.89,36.04,9.57,98.69,2.76,1,88.09
30,Grade_C,Grade_A,Grade_C → Grade_A,Day,95.16,92.19,437.65,23.19,12.59,45.8,3.12,0,58.88
31,Grade_C,Grade_A,Grade_C → Grade_A,Evening,122.43,120.97,433.12,32.31,7.08,61.21,1.19,1,66.67
32,Grade_A,Grade_C,Grade_A → Grade_C,Day,99.98,99.82,506.78,32.09,6.02,60.84,0.16,1,50.96
33,Grade_A,Grade_B,Grade_A → Grade_B,Evening,104.08,104.49,361.28,30.35,3.61,44.98,0.39,1,51.46
34,Grade_C,Grade_E,Grade_C → Grade_E,Evening,116.17,118.95,416.98,41.57,16.4,103.25,2.39,0,108.71
35,Grade_E,Grade_A,Grade_E → Grade_A,Day,101.31,101.31,482.3,18.66,1.26,29.94,0.0,1,17.63
36,Grade_A,Grade_B,Grade_A → Grade_B,Evening,89.98,79.25,489.55,23.4,23.06,78.11,11.93,0,114.86
37,Grade_D,Grade_E,Grade_D → Grade_E,Evening,98.9,99.94,341.8,33.26,4.07,73.46,1.05,1,63.93
38,Grade_D,Grade_E,Grade_D → Grade_E,Evening,99.64,99.45,402.82,18.71,10.04,76.71,0.19,1,74.63
39,Grade_B,Grade_D,Grade_B → Grade_D,Evening,86.35,90.86,494.7,25.48,11.1,65.96,5.23,0,70.84
40,Grade_D,Grade_B,Grade_D → Grade_B,Evening,97.44,94.72,447.94,42.49,10.98,70.36,2.79,0,71.65
41,Grade_A,Grade_C,Grade_A → Grade_C,Night,92.58,76.01,430.74,30.86,29.54,128.4,17.89,0,177.11
